1. London, United Kingdom
2. Paris, France
3. Dubai, United Arab Emirates
4. New York City, United States
5. Istanbul, Turkey
6. Bangkok, Thailand
7. Singapore, Singapore
8. Kuala Lumpur, Malaysia
9. Shanghai, China
10. Tokyo, Japan
11. Hong Kong, China
12. Rome, Italy
13. Barcelona, Spain
14. Los Angeles, United States
15. Moscow, Russia
16. Beijing, China
17. Macau, China
18. Chicago, United States
19. Dubai, United Arab Emirates
20. Seoul, South Korea
21. Bangkok, Thailand
22. Vienna, Austria
23. Amsterdam, Netherlands
24. Sydney, Australia
25. Toronto, Canada
26. Bangkok, Thailand
27. Bangkok, Thailand
28. Bangkok, Thailand
29. Bangkok, Thailand
30. Bangkok, Thailand
31. Bangkok, Thailand
32. Bangkok, Thailand
33. Bangkok, Thailand
34. Bangkok, Thailand
35. Bangkok, Thailand
36. Bangkok, Thailand
37. Bangkok, Thailand
38. Bangkok, Thailand
39. Bangkok, Thailand
40. Bangkok, Thailand
41. Bangkok, Thailand
42. Bangkok, Thailand
43. Bangkok, Thailand
44. Bangkok, Thailand
45. Bangkok, Thailand
46. Bangkok, Thailand
47. Bangkok, Thailand
48. Bangkok, Thailand
49. Bangkok, Thailand
50. Castel San Giovanni, Italy
